web-scraper-order,web-scraper-start-url,berita,berita-href
"1591761262-142","https://kumparan.com/search/haji%202020/","Batal Tahun Ini, Calon Jemaah Haji yang Sudah Bayar Lunas Akan Berangkat 2021","https://kumparan.com/kumparanbisnis/batal-tahun-ini-calon-jemaah-haji-yang-sudah-bayar-lunas-akan-berangkat-2021-1tXA2u2fFKN"
"1591761262-185","https://kumparan.com/search/haji%202020/","Pengurus BWI Probolinggo Dilantik","https://kumparan.com/kabarpaspasuruan/pengurus-bwi-probolinggo-dilantik"
"1591761262-72","https://kumparan.com/search/haji%202020/","Kemenag: Keselamatan Calon Jemaah Alasan Utama Ibadah Haji 2020 Dibatalkan","https://kumparan.com/kumparannews/kemenag-keselamatan-calon-jemaah-alasan-utama-ibadah-haji-2020-dibatalkan-1tXcSOIoLnZ"
"1591761262-128","https://kumparan.com/search/haji%202020/","4.187 Calon Jemaah Haji di Aceh Batal Berangkat ke Tanah Suci","https://kumparan.com/kumparannews/4-187-calon-jemaah-haji-di-aceh-batal-berangkat-ke-tanah-suci-1tXB9xARmvx"
"1591761262-4","https://kumparan.com/search/haji%202020/","BREAKING NEWS: Ibadah Haji 2020 Ditiadakan","https://kumparan.com/kumparannews/breaking-news-ibadah-haji-2020-ditiadakan-1tX403Gsowm"
"1591761262-59","https://kumparan.com/search/haji%202020/","30.117 Jemaah Haji 2020 di Jateng Akan Diberangkatkan 2021","https://kumparan.com/kumparannews/30-117-jemaah-haji-2020-di-jateng-akan-diberangkatkan-2021-1tXWgevld7y"
"1591761262-51","https://kumparan.com/search/haji%202020/","Haji 2020, Sumenep akan Berangkatkan 652 Jemaah","https://kumparan.com/mediamadura/haji-2020-sumenep-akan-berangkatkan-652-jemaah-1smWNXAEVqX"
"1591761262-138","https://kumparan.com/search/haji%202020/","Cerita Calon Jemaah Haji yang Batal Berangkat: Sudah Vaksin hingga Jahit Seragam","https://kumparan.com/kumparannews/cerita-calon-jemaah-haji-yang-batal-berangkat-sudah-vaksin-hingga-jahit-seragam-1tXavehqE3g"
"1591761262-98","https://kumparan.com/search/haji%202020/","Menag Usul ke DPR Biaya Naik Haji 2020 Rp 35,2 Juta","https://kumparan.com/kumparannews/menag-usul-ke-dpr-biaya-naik-haji-2020-rp-35-2-juta-1sLDhoZvwm7"
"1591761262-137","https://kumparan.com/search/haji%202020/","Sri Sultan soal 3.116 Calon Jemaah Haji DIY Gagal Berangkat: Harap Maklum","https://kumparan.com/kumparannews/sri-sultan-soal-3-116-calon-jemaah-haji-diy-gagal-berangkat-harap-maklum-1tXCAipsRdM"
"1591761262-109","https://kumparan.com/search/haji%202020/","267 Calon Jemaah Haji asal Kuansing Riau Batal Berangkat","https://kumparan.com/selasarriau/267-calon-jemaah-haji-asal-kuansing-riau-batal-berangkat-1tXCmTK3AQu"
"1591761262-9","https://kumparan.com/search/haji%202020/","Batal Berangkat, 58 Jemaah Haji Ajukan Pengembalian Setoran Pelunasan","https://kumparan.com/kumparannews/batal-berangkat-58-jemaah-haji-ajukan-pengembalian-setoran-pelunasan-1ta3IMZ9RGo"
"1591761262-58","https://kumparan.com/search/haji%202020/","BPKH: Pendaftar Haji 2020 Turun 50%, Mungkin Karena Corona","https://kumparan.com/kumparannews/bpkh-pendaftar-haji-2020-turun-50-mungkin-karena-corona-1tEEGJljmmS"
"1591761262-10","https://kumparan.com/search/haji%202020/","Jokowi Sempat Minta Menag Upayakan Agar Jemaah Haji Tetap Berangkat","https://kumparan.com/kumparannews/jokowi-sempat-minta-menag-upayakan-agar-jemaah-haji-tetap-berangkat-1tZvrRqzMcD"
"1591761262-7","https://kumparan.com/search/haji%202020/","Batal Berangkat, 6 Calhaj di Kabupaten Tegal Ajukan Pengembalian Dana Haji","https://kumparan.com/panturapost/batal-berangkat-6-calhaj-di-kabupaten-tegal-ajukan-pengembalian-dana-haji-1ta14sAIf9u"
"1591761262-108","https://kumparan.com/search/haji%202020/","Muhammad Rakhman Ingatkan Pemerintah Percepat Pengembalian Uang Haji","https://kumparan.com/infopbun/muhammad-rakhman-ingatkan-pemerintah-percepat-pengembalian-uang-haji-1tX8wU8jff5"
"1591761262-94","https://kumparan.com/search/haji%202020/","Pemprov Babel Targetkan Tahun 2020, Asrama Haji Bisa Beroperasi","https://kumparan.com/babelhits/pemprov-babel-targetkan-tahun-2020-asrama-haji-bisa-beroperasi-1sJhMQXV7Ij"
"1591761262-29","https://kumparan.com/search/haji%202020/","Komisi VIII Kritik Menag, Tunda Haji 2020 Tanpa Bahas dengan DPR","https://kumparan.com/kumparannews/komisi-viii-kritik-menag-tunda-haji-2020-tanpa-bahas-dengan-dpr-1tX8yDs7LfY"
"1591761262-66","https://kumparan.com/search/haji%202020/","Kemenag Harap 12 Mei Saudi Umumkan Kepastian Haji 2020","https://kumparan.com/kumparannews/kemenag-harap-12-mei-saudi-umumkan-kepastian-haji-2020-1tMbzopXE5n"
"1591761262-69","https://kumparan.com/search/haji%202020/","Rincian Biaya Haji 2020, dari Pesawat hingga Akomodasi di Makkah","https://kumparan.com/kumparannews/rincian-biaya-haji-2020-dari-pesawat-hingga-akomodasi-di-makkah-1sk84HEOKXd"
"1591761262-114","https://kumparan.com/search/haji%202020/","Tak Ada Ibadah Haji untuk Jemaah Indonesia Tahun Ini","https://kumparan.com/kumparannews/tak-ada-ibadah-haji-untuk-jemaah-indonesia-tahun-ini-1tXHjLiw9SW"
